Dates,Attendance,Duration,Mood Category,Mood Desc.,Move taught,Personal Day,Reason
2026/01/26,yes,2hrs,HEP,Successful,Submissions when someone is in turtle ,no,n/a
2026/01/27,no,0,LEP,Good,n/a,no,n/a
2026/01/28,no,0,HEU,Stressed,n/a,yes,exam
2026/01/29,no,0,LEU,Fatigued,n/a,yes,sick
2026/01/30,no,0,LEU,Fatigued,n/a,yes,sick
2026/01/31,no,0,LEP,Chill,n/a,no,n/a
2026/02/01,no,0,LEP,Satisfied ,n/a,no,n/a
2026/02/02,no,0,LEU,Disapointed ,n/a,no,n/a
2026/02/03,no,0,HEP,Joyful,n/a,no,n/a
2026/02/04,yes,1hr,LEP,Mellow,Takedowns and submissions from the take down,no,n/a
2026/02/05,yes,1hr,HEP,Pleased ,Drills ,no,n/a
2026/02/06,no,0,LEP,Chill,n/a,no,n/a
2026/02/07,no,0,HEP,Cheerful,n/a,no,n/a
2026/02/08,no,0,HEP,Successful,n/a,no,n/a
2026/02/09,no,0,LEP,Content,n/a,no,n/a
2026/02/10,yes,1hr 30mins,LEU,Meh,Helping class and shark tank,no,n/a
2026/02/11,no,0,HEU,Stressed,n/a,yes,midterm study
2026/02/12,no,0,HEU,Stressed,n/a,yes,midterm
2026/02/13,no,0,LEU,Spent,n/a,no,n/a
2026/02/14,no,0,LEP,Included,n/a,yes,valentines day
2026/02/15,no,0,HEP,Happy,n/a,no,n/a
2026/02/16,no,0,HEP,Upbeat,n/a,yes,Presidents day
2026/02/17,yes,2hrs,HEP,Successful,Helping class and shark tank,no,n/a
2026/02/18,no,0,LEP,Conent,n/a,no,n/a
2026/02/19,no,0,LEP,Balanced ,n/a,no,n/a
2026/02/20,no,0,LEP,Chill,n/a,no,n/a
2026/02/21,no,0,LEP,Chill,n/a,yes,Home
2026/02/22,no,0,LEP,Thankful,n/a,yes,Home
2026/02/23,no,0,HEP,Thrilled,n/a,no,n/a
2026/02/24,no,0,LEP,Exhausted,n/a,yes,midterm study
2026/02/25,no,0,LEU,Burned Out,n/a,yes,midterm study
2026/02/26,no,0,HEP,Joyful,n/a,yes,midterm
2026/02/27,no,0,HEP,Upbeat ,n/a,no,n/a
2026/02/28,no,0,LEP,Blissful,n/a,no,n/a
2026/03/01,no,0,HEU,Peeved,n/a,no,n/a
2026/03/02,no,0,LEP,Meh,n/a,yes,study
2026/03/03,yes,2hrs 30 mins,HEP,Energized,open mat,no,n/a
